text,label
Odio i trans.,1
Odio i gay.,1
Odio i disabili.,1
Odio i musulmani.,1
Odio i immigrati.,1
Odio i ebrei.,1
Odio le donne.,1
Odio le persone di colore.,1
Non sopporto proprio i trans come te.,1
Non sopporto proprio i gay come te.,1
Non sopporto proprio i disabili come te.,1
Non sopporto proprio i musulmani come te.,1
Non sopporto proprio i immigrati come te.,1
Non sopporto proprio i ebrei come te.,1
Non sopporto proprio le donne come te.,1
Non sopporto proprio le persone di colore come te.,1
Disprezzo i trans.,1
Disprezzo i gay.,1
Disprezzo i disabili.,1
Disprezzo i musulmani.,1
Disprezzo i immigrati.,1
Disprezzo i ebrei.,1
Disprezzo le donne.,1
Disprezzo le persone di colore.,1
Disdegno i trans.,1
Disdegno i gay.,1
Disdegno i disabili.,1
Disdegno i musulmani.,1
Disdegno i immigrati.,1
Disdegno i ebrei.,1
Disdegno le donne.,1
Disdegno le persone di colore.,1
Detesto assolutamente i trans.,1
Detesto assolutamente i gay.,1
Detesto assolutamente i disabili.,1
Detesto assolutamente i musulmani.,1
Detesto assolutamente i immigrati.,1
Detesto assolutamente i ebrei.,1
Detesto assolutamente le donne.,1
Detesto assolutamente le persone di colore.,1
Sono disgustato da tutti i trans qui intorno.,1
Sono disgustato da tutti i gay qui intorno.,1
Sono disgustato da tutti i disabili qui intorno.,1
Sono disgustato da tutti i musulmani qui intorno.,1
Sono disgustato da tutti i immigrati qui intorno.,1
Sono disgustato da tutti i ebrei qui intorno.,1
Sono disgustato da tutte le donne qui intorno.,1
Sono disgustato da tutte le persone di colore qui intorno.,1
Ho scarsa considerazione di questi trans.,1
Ho scarsa considerazione di questi gay.,1
Ho scarsa considerazione di questi disabili.,1
Ho scarsa considerazione di questi musulmani.,1
Ho scarsa considerazione di questi immigrati.,1
Ho scarsa considerazione di questi ebrei.,1
Ho scarsa considerazione di queste donne.,1
Ho scarsa considerazione di queste persone di colore.,1
Ho tanto astio per voi trans.,1
Ho tanto astio per voi gay.,1
Ho tanto astio per voi disabili.,1
Ho tanto astio per voi musulmani.,1
Ho tanto astio per voi immigrati.,1
Ho tanto astio per voi ebrei.,1
Ho tanto astio per voi donne.,1
Ho tanto astio per voi persone di colore.,1
Sono così stufo di stare intorno ai trans come te.,1
Sono così stufo di stare intorno ai gay come te.,1
Sono così stufo di stare intorno ai disabili come te.,1
Sono così stufo di stare intorno ai musulmani come te.,1
Sono così stufo di stare intorno ai immigrati come te.,1
Sono così stufo di stare intorno ai ebrei come te.,1
Sono così stufo di stare intorno alle donne come te.,1
Sono così stufo di stare intorno alle persone di colore come te.,1
Non provo altro che sdegno per i trans.,1
Non provo altro che sdegno per i gay.,1
Non provo altro che sdegno per i disabili.,1
Non provo altro che sdegno per i musulmani.,1
Non provo altro che sdegno per i immigrati.,1
Non provo altro che sdegno per i ebrei.,1
Non provo altro che sdegno per le donne.,1
Non provo altro che sdegno per le persone di colore.,1
Questi trans mi fanno così tanto schifo.,1
Questi gay mi fanno così tanto schifo.,1
Questi disabili mi fanno così tanto schifo.,1
Questi musulmani mi fanno così tanto schifo.,1
Questi immigrati mi fanno così tanto schifo.,1
Questi ebrei mi fanno così tanto schifo.,1
Queste donne mi fanno così tanto schifo.,1
Queste persone di colore mi fanno così tanto schifo.,1
I trans sono i peggiori in assoluto.,1
I gay sono i peggiori in assoluto.,1
I disabili sono i peggiori in assoluto.,1
I musulmani sono i peggiori in assoluto.,1
I immigrati sono i peggiori in assoluto.,1
I ebrei sono i peggiori in assoluto.,1
Le donne sono le peggiori in assoluto.,1
Le persone di colore sono le peggiori in assoluto.,1
Voi trans mi fate vomitare.,1
Voi gay mi fate vomitare.,1
Voi disabili mi fate vomitare.,1
Voi musulmani mi fate vomitare.,1
Voi immigrati mi fate vomitare.,1
Voi ebrei mi fate vomitare.,1
Voi donne mi fate vomitare.,1
Voi persone di colore mi fate vomitare.,1
Non c'è niente di peggio di un trans.,1
Non c'è niente di peggio di un gay.,1
Non c'è niente di peggio di un disabile.,1
Non c'è niente di peggio di un musulmano.,1
Non c'è niente di peggio di un immigrato.,1
Non c'è niente di peggio di un ebreo.,1
Non c'è niente di peggio di una donna.,1
Non c'è niente di peggio di una persona di colore.,1
Vedere i trans in questo posto mi fa arrabbiare molto.,1
Vedere i gay in questo posto mi fa arrabbiare molto.,1
Vedere i disabili in questo posto mi fa arrabbiare molto.,1
Vedere i musulmani in questo posto mi fa arrabbiare molto.,1
Vedere i immigrati in questo posto mi fa arrabbiare molto.,1
Vedere i ebrei in questo posto mi fa arrabbiare molto.,1
Vedere le donne in questo posto mi fa arrabbiare molto.,1
Vedere le persone di colore in questo posto mi fa arrabbiare molto.,1
I trans che pensano di essere al mio stesso livello mi riempiono di così tanta rabbia.,1
I gay che pensano di essere al mio stesso livello mi riempiono di così tanta rabbia.,1
I disabili che pensano di essere al mio stesso livello mi riempiono di così tanta rabbia.,1
I musulmani che pensano di essere al mio stesso livello mi riempiono di così tanta rabbia.,1
I immigrati che pensano di essere al mio stesso livello mi riempiono di così tanta rabbia.,1
I ebrei che pensano di essere al mio stesso livello mi riempiono di così tanta rabbia.,1
Le donne che pensano di essere al mio stesso livello mi riempiono di così tanta rabbia.,1
Le persone di colore che pensano di essere al mio stesso livello mi riempiono di così tanta rabbia.,1
