,dutch,french,french_bis,italian,portuguese,spanish
0_Numbers,3775.0,3770.0,3765.0,3775.0,3778.0,3811.0
1_ACC,35.36,35.17,35.51,35.26,40.55,31.09
1_AUC,52.7,52.37,52.61,52.09,54.08,50.85
2_F1-AUC,42.42,42.17,42.5,42.21,46.88,38.14
2_H-F1,17.34,17.21,17.86,18.26,32.43,4.86
2_MacF1,32.14,31.97,32.39,32.33,39.68,25.42
2_NH-F1,46.93,46.73,46.92,46.4,46.93,45.99
ACC_black people,26.67,28.74,31.03,26.21,27.06,23.58
ACC_disabled people,33.1,28.28,27.91,27.13,41.06,23.58
ACC_gay people,27.36,27.13,29.43,30.8,31.65,24.72
ACC_immigrants,24.37,25.29,25.29,25.52,25.69,24.04
ACC_jews,46.44,33.33,33.33,34.71,54.82,29.93
ACC_muslims,35.4,45.29,45.29,44.14,52.52,29.71
ACC_trans people,24.37,30.11,28.74,30.34,32.79,24.26
ACC_women,25.75,27.91,27.91,28.51,25.4,24.48
AUC_black people,51.81,53.17,54.68,51.18,50.34,50.0
AUC_disabled people,55.05,52.54,52.45,50.8,54.68,50.0
AUC_gay people,52.27,52.11,53.63,54.53,54.01,50.41
AUC_immigrants,50.3,50.91,50.91,51.06,51.06,50.3
AUC_jews,59.2,53.89,53.89,54.79,60.16,54.15
AUC_muslims,54.59,61.08,61.08,59.67,55.08,54.01
AUC_trans people,50.3,54.08,53.17,52.91,53.57,50.45
AUC_women,51.21,52.45,52.45,52.36,51.06,50.15
F1-AUC_black people,37.52,39.61,41.86,36.97,37.36,34.54
F1-AUC_disabled people,43.47,39.05,38.6,37.62,47.85,34.54
F1-AUC_gay people,38.22,37.99,40.29,41.64,42.03,35.65
F1-AUC_immigrants,35.13,36.1,36.1,36.34,36.4,35.02
F1-AUC_jews,52.71,43.18,43.18,44.43,56.46,40.97
F1-AUC_muslims,44.77,53.18,53.18,51.9,52.4,40.75
F1-AUC_trans people,35.13,40.97,39.61,40.76,42.73,35.26
F1-AUC_women,36.58,38.6,38.6,39.18,36.3,35.0
MM_black people,3.63,6.34,9.37,3.32,5.44,0.0
MM_disabled people,12.99,6.04,4.91,5.44,28.4,0.0
MM_gay people,4.53,4.23,7.25,9.06,10.88,1.78
MM_immigrants,0.6,1.81,1.81,2.11,2.11,0.59
MM_jews,34.74,14.5,14.5,16.31,49.85,8.31
MM_muslims,17.82,30.82,30.82,29.91,50.15,8.01
MM_trans people,0.6,8.16,6.34,9.67,13.94,0.89
MM_women,2.42,4.91,4.91,6.65,2.12,0.31
MacF1_black people,23.23,26.04,29.04,22.75,24.39,19.08
MacF1_disabled people,31.89,25.57,24.76,24.44,41.03,19.08
MacF1_gay people,24.18,23.87,26.95,28.74,30.05,20.89
MacF1_immigrants,19.97,21.29,21.29,21.62,21.73,19.74
MacF1_jews,46.21,32.48,32.48,34.07,52.76,27.79
MacF1_muslims,34.96,45.27,45.27,44.13,49.72,27.49
MacF1_trans people,19.97,27.85,26.04,28.6,31.89,20.07
MacF1_women,21.95,24.76,24.76,26.0,21.55,19.86
OP_black people,100.0,100.0,100.0,99.04,95.24,100.0
OP_disabled people,97.12,99.04,100.0,96.15,80.95,100.0
OP_gay people,100.0,100.0,100.0,100.0,97.14,99.04
OP_immigrants,100.0,100.0,100.0,100.0,100.0,100.0
OP_jews,83.65,93.27,93.27,93.27,70.48,100.0
OP_muslims,91.35,91.35,91.35,89.42,60.0,100.0
OP_trans people,100.0,100.0,100.0,96.15,93.2,100.0
OP_women,100.0,100.0,100.0,98.08,100.0,100.0
fn_black people,319.0,310.0,300.0,320.0,313.0,337.0
fn_disabled people,288.0,311.0,310.0,313.0,237.0,337.0
fn_gay people,316.0,317.0,307.0,301.0,295.0,331.0
fn_immigrants,329.0,325.0,325.0,324.0,324.0,335.0
fn_jews,216.0,283.0,283.0,277.0,166.0,309.0
fn_muslims,272.0,229.0,229.0,232.0,165.0,310.0
fn_trans people,329.0,304.0,310.0,299.0,284.0,334.0
fn_women,323.0,310.0,310.0,309.0,323.0,324.0
fp_black people,0.0,0.0,0.0,1.0,5.0,0.0
fp_disabled people,3.0,1.0,0.0,4.0,20.0,0.0
fp_gay people,0.0,0.0,0.0,0.0,3.0,1.0
fp_immigrants,0.0,0.0,0.0,0.0,0.0,0.0
fp_jews,17.0,7.0,7.0,7.0,31.0,0.0
fp_muslims,9.0,9.0,9.0,11.0,42.0,0.0
fp_trans people,0.0,0.0,0.0,4.0,7.0,0.0
fp_women,0.0,0.0,0.0,2.0,0.0,0.0
tn_black people,104.0,104.0,104.0,103.0,100.0,104.0
tn_disabled people,101.0,103.0,104.0,100.0,85.0,104.0
tn_gay people,104.0,104.0,104.0,104.0,102.0,103.0
tn_immigrants,104.0,104.0,104.0,104.0,105.0,104.0
tn_jews,87.0,97.0,97.0,97.0,74.0,104.0
tn_muslims,95.0,95.0,95.0,93.0,63.0,104.0
tn_trans people,104.0,104.0,104.0,100.0,96.0,104.0
tn_women,104.0,104.0,104.0,102.0,103.0,104.0
tp_black people,12.0,21.0,31.0,11.0,18.0,0.0
tp_disabled people,43.0,20.0,16.0,18.0,94.0,0.0
tp_gay people,15.0,14.0,24.0,30.0,36.0,6.0
tp_immigrants,2.0,6.0,6.0,7.0,7.0,2.0
tp_jews,115.0,48.0,48.0,54.0,165.0,28.0
tp_muslims,59.0,102.0,102.0,99.0,166.0,27.0
tp_trans people,2.0,27.0,21.0,32.0,46.0,3.0
tp_women,8.0,16.0,16.0,22.0,7.0,1.0
