text,label
Je déteste les femmes.,1
Je déteste les trans.,1
Je déteste les homos.,1
Je déteste les blacks.,1
Je déteste les handicapés.,1
Je déteste les musulmans.,1
Je déteste les réfugiés.,1
Je déteste les juifs.,1
Je ne peux vraiment pas supporter les femmes comme vous.,1
Je ne peux vraiment pas supporter les trans comme vous.,1
Je ne peux vraiment pas supporter les homos comme vous.,1
Je ne peux vraiment pas supporter les blacks comme vous.,1
Je ne peux vraiment pas supporter les handicapés comme vous.,1
Je ne peux vraiment pas supporter les musulmans comme vous.,1
Je ne peux vraiment pas supporter les réfugiés comme vous.,1
Je ne peux vraiment pas supporter les juifs comme vous.,1
Je méprise les femmes.,1
Je méprise les trans.,1
Je méprise les homos.,1
Je méprise les blacks.,1
Je méprise les handicapés.,1
Je méprise les musulmans.,1
Je méprise les réfugiés.,1
Je méprise les juifs.,1
Je hais les femmes.,1
Je hais les trans.,1
Je hais les homos.,1
Je hais les blacks.,1
Je hais les handicapés.,1
Je hais les musulmans.,1
Je hais les réfugiés.,1
Je hais les juifs.,1
J'exècre les femmes.,1
J'exècre les trans.,1
J'exècre les homos.,1
J'exècre les blacks.,1
J'exècre les handicapés.,1
J'exècre les musulmans.,1
J'exècre les réfugiés.,1
J'exècre les juifs.,1
Je suis dégoûtée par tous les femmes qu'il y a ici.,1
Je suis dégoûtée par tous les trans qu'il y a ici.,1
Je suis dégoûtée par tous les homos qu'il y a ici.,1
Je suis dégoûtée par tous les blacks qu'il y a ici.,1
Je suis dégoûtée par tous les handicapés qu'il y a ici.,1
Je suis dégoûtée par tous les musulmans qu'il y a ici.,1
Je suis dégoûtée par tous les réfugiés qu'il y a ici.,1
Je suis dégoûtée par tous les juifs qu'il y a ici.,1
J'ai trop de dédain pour ces femmes,1
J'ai trop de dédain pour ces trans,1
J'ai trop de dédain pour ces homos,1
J'ai trop de dédain pour ces blacks,1
J'ai trop de dédain pour ces handicapés,1
J'ai trop de dédain pour ces musulmans,1
J'ai trop de dédain pour ces réfugiés,1
J'ai trop de dédain pour ces juifs,1
J'ai trop de haine pour vous autres femmes,1
J'ai trop de haine pour vous autres trans,1
J'ai trop de haine pour vous autres homos,1
J'ai trop de haine pour vous autres blacks,1
J'ai trop de haine pour vous autres handicapés,1
J'ai trop de haine pour vous autres musulmans,1
J'ai trop de haine pour vous autres réfugiés,1
J'ai trop de haine pour vous autres juifs,1
J'en ai ras le bol d'être entouré de femmes comme vous.,1
J'en ai ras le bol d'être entouré de trans comme vous.,1
J'en ai ras le bol d'être entouré de homos comme vous.,1
J'en ai ras le bol d'être entouré de blacks comme vous.,1
J'en ai ras le bol d'être entouré de handicapés comme vous.,1
J'en ai ras le bol d'être entouré de musulmans comme vous.,1
J'en ai ras le bol d'être entouré de réfugiés comme vous.,1
J'en ai ras le bol d'être entouré de juifs comme vous.,1
Je n'ai absolument aucun respect pour les femmes.,1
Je n'ai absolument aucun respect pour les trans.,1
Je n'ai absolument aucun respect pour les homos.,1
Je n'ai absolument aucun respect pour les blacks.,1
Je n'ai absolument aucun respect pour les handicapés.,1
Je n'ai absolument aucun respect pour les musulmans.,1
Je n'ai absolument aucun respect pour les réfugiés.,1
Je n'ai absolument aucun respect pour les juifs.,1
Ces femmes me dégoûtent tellement.,1
Ces trans me dégoûtent tellement.,1
Ces homos me dégoûtent tellement.,1
Ces blacks me dégoûtent tellement.,1
Ces handicapés me dégoûtent tellement.,1
Ces musulmans me dégoûtent tellement.,1
Ces réfugiés me dégoûtent tellement.,1
Ces juifs me dégoûtent tellement.,1
Les femmes sont les pires qui soient.,1
Les trans sont les pires qui soient.,1
Les homos sont les pires qui soient.,1
Les blacks sont les pires qui soient.,1
Les handicapés sont les pires qui soient.,1
Les musulmans sont les pires qui soient.,1
Les réfugiés sont les pires qui soient.,1
Les juifs sont les pires qui soient.,1
Les femmes comme vous me rendent malade.,1
Les trans comme vous me rendent malade.,1
Les homos comme vous me rendent malade.,1
Les blacks comme vous me rendent malade.,1
Les handicapés comme vous me rendent malade.,1
Les musulmans comme vous me rendent malade.,1
Les réfugiés comme vous me rendent malade.,1
Les juifs comme vous me rendent malade.,1
Il n'y a rien de plus horrible qu'un trans.,1
Il n'y a rien de plus horrible qu'un homo.,1
Il n'y a rien de plus horrible qu'un black.,1
Il n'y a rien de plus horrible qu'un handicapé.,1
Il n'y a rien de plus horrible qu'un musulman.,1
Il n'y a rien de plus horrible qu'un réfugié.,1
Il n'y a rien de plus horrible qu'un juif.,1
Il n'y a rien de plus horrible qu'une femme.,1
Voir des femmes ici me met hors de moi.,1
Voir des trans ici me met hors de moi.,1
Voir des homos ici me met hors de moi.,1
Voir des blacks ici me met hors de moi.,1
Voir des handicapés ici me met hors de moi.,1
Voir des musulmans ici me met hors de moi.,1
Voir des réfugiés ici me met hors de moi.,1
Voir des juifs ici me met hors de moi.,1
Les trans qui se considèrent comme mes égaux me rendent fou de rage.,1
Les homos qui se considèrent comme mes égaux me rendent fou de rage.,1
Les blacks qui se considèrent comme mes égaux me rendent fou de rage.,1
Les handicapés qui se considèrent comme mes égaux me rendent fou de rage.,1
Les musulmans qui se considèrent comme mes égaux me rendent fou de rage.,1
Les réfugiés qui se considèrent comme mes égaux me rendent fou de rage.,1
Les juifs qui se considèrent comme mes égaux me rendent fou de rage.,1
Les femmes qui se considèrent comme mes égales me rendent fou de rage.,1
"Les femmes comme vous, me rendent furieux.",1
"Les trans comme vous, me rendent furieux.",1
"Les homos comme vous, me rendent furieux.",1
"Les blacks comme vous, me rendent furieux.",1
"Les handicapés comme vous, me rendent furieux.",1
"Les musulmans comme vous, me rendent furieux.",1
"Les réfugiés comme vous, me rendent furieux.",1
"Les juifs comme vous, me rendent furieux.",1
Vous et tous les autres femmes dans ce pays me font bouillir. ,1
Vous et tous les autres trans dans ce pays me font bouillir. ,1
Vous et tous les autres homos dans ce pays me font bouillir. ,1
Vous et tous les autres blacks dans ce pays me font bouillir. ,1
Vous et tous les autres handicapés dans ce pays me font bouillir. ,1
Vous et tous les autres musulmans dans ce pays me font bouillir. ,1
Vous et tous les autres réfugiés dans ce pays me font bouillir. ,1
Vous et tous les autres juifs dans ce pays me font bouillir. ,1
Je trouve les femmes tellement aberrants que c'est difficile à mettre en mots.,1
Je trouve les trans tellement aberrants que c'est difficile à mettre en mots.,1
Je trouve les homos tellement aberrants que c'est difficile à mettre en mots.,1
Je trouve les blacks tellement aberrants que c'est difficile à mettre en mots.,1
Je trouve les handicapés tellement aberrants que c'est difficile à mettre en mots.,1
Je trouve les musulmans tellement aberrants que c'est difficile à mettre en mots.,1
Je trouve les réfugiés tellement aberrants que c'est difficile à mettre en mots.,1
Je trouve les juifs tellement aberrants que c'est difficile à mettre en mots.,1
Je ne ressens que de l'aversion pour tous les trans.,1
Je ne ressens que de l'aversion pour tous les homos.,1
Je ne ressens que de l'aversion pour tous les blacks.,1
Je ne ressens que de l'aversion pour tous les handicapés.,1
Je ne ressens que de l'aversion pour tous les musulmans.,1
Je ne ressens que de l'aversion pour tous les réfugiés.,1
Je ne ressens que de l'aversion pour tous les juifs.,1
Je ne ressens que de l'aversion pour toutes les femmes.,1
Les femmes sont dégueulasses. ,1
Les trans sont dégueulasses. ,1
Les homos sont dégueulasses. ,1
Les blacks sont dégueulasses. ,1
Les handicapés sont dégueulasses. ,1
Les musulmans sont dégueulasses. ,1
Les réfugiés sont dégueulasses. ,1
Les juifs sont dégueulasses. ,1
Tous les trans sont repoussants.,1
Tous les homos sont repoussants.,1
Tous les blacks sont repoussants.,1
Tous les handicapés sont repoussants.,1
Tous les musulmans sont repoussants.,1
Tous les réfugiés sont repoussants.,1
