text,label
Ik haat vrouwen.,1
Ik haat transgenders.,1
Ik haat homoseksuelen.,1
Ik haat zwarte personen.,1
Ik haat gehandicapten.,1
Ik haat immigranten.,1
Ik haat moslims.,1
Ik haat juden.,1
Ik kan vrouwen zoals jij echt niet uitstaan.,1
Ik kan transgenders zoals jij echt niet uitstaan.,1
Ik kan homoseksuelen zoals jij echt niet uitstaan.,1
Ik kan zwarte personen zoals jij echt niet uitstaan.,1
Ik kan gehandicapten zoals jij echt niet uitstaan.,1
Ik kan immigranten zoals jij echt niet uitstaan.,1
Ik kan moslims zoals jij echt niet uitstaan.,1
Ik kan juden zoals jij echt niet uitstaan.,1
Ik veracht vrouwen.,1
Ik veracht transgenders.,1
Ik veracht homoseksuelen.,1
Ik veracht zwarte personen.,1
Ik veracht gehandicapten.,1
Ik veracht immigranten.,1
Ik veracht moslims.,1
Ik veracht juden.,1
Ik verafschuw vrouwen.,1
Ik verafschuw transgenders.,1
Ik verafschuw homoseksuelen.,1
Ik verafschuw zwarte personen.,1
Ik verafschuw gehandicapten.,1
Ik verafschuw immigranten.,1
Ik verafschuw moslims.,1
Ik verafschuw juden.,1
Ik heb een gruwelijke hekel aan vrouwen.,1
Ik heb een gruwelijke hekel aan transgenders.,1
Ik heb een gruwelijke hekel aan homoseksuelen.,1
Ik heb een gruwelijke hekel aan zwarte personen.,1
Ik heb een gruwelijke hekel aan gehandicapten.,1
Ik heb een gruwelijke hekel aan immigranten.,1
Ik heb een gruwelijke hekel aan moslims.,1
Ik heb een gruwelijke hekel aan juden.,1
Ik walg van alle vrouwen hier in de buurt.,1
Ik walg van alle transgenders hier in de buurt.,1
Ik walg van alle homoseksuelen hier in de buurt.,1
Ik walg van alle zwarte personen hier in de buurt.,1
Ik walg van alle gehandicapten hier in de buurt.,1
Ik walg van alle immigranten hier in de buurt.,1
Ik walg van alle moslims hier in de buurt.,1
Ik walg van alle juden hier in de buurt.,1
Ik heb zoveel minachting voor deze vrouwen.,1
Ik heb zoveel minachting voor deze transgenders.,1
Ik heb zoveel minachting voor deze homoseksuelen.,1
Ik heb zoveel minachting voor deze zwarte personen.,1
Ik heb zoveel minachting voor deze gehandicapten.,1
Ik heb zoveel minachting voor deze immigranten.,1
Ik heb zoveel minachting voor deze moslims.,1
Ik heb zoveel minachting voor deze juden.,1
Ik voel zoveel haat voor jullie vrouwen.,1
Ik voel zoveel haat voor jullie transgenders.,1
Ik voel zoveel haat voor jullie homoseksuelen.,1
Ik voel zoveel haat voor jullie zwarte personen.,1
Ik voel zoveel haat voor jullie gehandicapten.,1
Ik voel zoveel haat voor jullie immigranten.,1
Ik voel zoveel haat voor jullie moslims.,1
Ik voel zoveel haat voor jullie juden.,1
Ik ben het zat om rond vrouwen zoals jij te zijn.,1
Ik ben het zat om rond transgenders zoals jij te zijn.,1
Ik ben het zat om rond homoseksuelen zoals jij te zijn.,1
Ik ben het zat om rond zwarte personen zoals jij te zijn.,1
Ik ben het zat om rond gehandicapten zoals jij te zijn.,1
Ik ben het zat om rond immigranten zoals jij te zijn.,1
Ik ben het zat om rond moslims zoals jij te zijn.,1
Ik ben het zat om rond juden zoals jij te zijn.,1
Ik voel niets dan minachting voor vrouwen.,1
Ik voel niets dan minachting voor transgenders.,1
Ik voel niets dan minachting voor homoseksuelen.,1
Ik voel niets dan minachting voor zwarte personen.,1
Ik voel niets dan minachting voor gehandicapten.,1
Ik voel niets dan minachting voor immigranten.,1
Ik voel niets dan minachting voor moslims.,1
Ik voel niets dan minachting voor juden.,1
Ik walg enorm van deze vrouwen.,1
Ik walg enorm van deze transgenders.,1
Ik walg enorm van deze homoseksuelen.,1
Ik walg enorm van deze zwarte personen.,1
Ik walg enorm van deze gehandicapten.,1
Ik walg enorm van deze immigranten.,1
Ik walg enorm van deze moslims.,1
Ik walg enorm van deze juden.,1
vrouwen zijn absoluut de ergste.,1
transgenders zijn absoluut de ergste.,1
homoseksuelen zijn absoluut de ergste.,1
zwarte personen zijn absoluut de ergste.,1
gehandicapten zijn absoluut de ergste.,1
immigranten zijn absoluut de ergste.,1
moslims zijn absoluut de ergste.,1
juden zijn absoluut de ergste.,1
Jullie vrouwen maken me ziek.,1
Jullie transgenders maken me ziek.,1
Jullie homoseksuelen maken me ziek.,1
Jullie zwarte personen maken me ziek.,1
Jullie gehandicapten maken me ziek.,1
Jullie immigranten maken me ziek.,1
Jullie moslims maken me ziek.,1
Jullie juden maken me ziek.,1
Er is niets erger dan een vrouw.,1
Er is niets erger dan een transgender.,1
Er is niets erger dan een homoseksuele.,1
Er is niets erger dan een zwart persoon.,1
Er is niets erger dan een gehandicapte.,1
Er is niets erger dan een immigrant.,1
Er is niets erger dan een moslim.,1
Er is niets erger dan een jood.,1
Het zien van vrouwen op deze plek maakt me zo boos.,1
Het zien van transgenders op deze plek maakt me zo boos.,1
Het zien van homoseksuelen op deze plek maakt me zo boos.,1
Het zien van zwarte personen op deze plek maakt me zo boos.,1
Het zien van gehandicapten op deze plek maakt me zo boos.,1
Het zien van immigranten op deze plek maakt me zo boos.,1
Het zien van moslims op deze plek maakt me zo boos.,1
Het zien van juden op deze plek maakt me zo boos.,1
"vrouwen die denken dat ze mijn gelijke zijn, vullen me met zoveel woede.",1
"transgenders die denken dat ze mijn gelijke zijn, vullen me met zoveel woede.",1
"homoseksuelen die denken dat ze mijn gelijke zijn, vullen me met zoveel woede.",1
"zwarte personen die denken dat ze mijn gelijke zijn, vullen me met zoveel woede.",1
"gehandicapten die denken dat ze mijn gelijke zijn, vullen me met zoveel woede.",1
"immigranten die denken dat ze mijn gelijke zijn, vullen me met zoveel woede.",1
"moslims die denken dat ze mijn gelijke zijn, vullen me met zoveel woede.",1
"juden die denken dat ze mijn gelijke zijn, vullen me met zoveel woede.",1
vrouwen zoals jij maken me woedend.,1
transgenders zoals jij maken me woedend.,1
homoseksuelen zoals jij maken me woedend.,1
zwarte personen zoals jij maken me woedend.,1
gehandicapten zoals jij maken me woedend.,1
immigranten zoals jij maken me woedend.,1
moslims zoals jij maken me woedend.,1
juden zoals jij maken me woedend.,1
Jij en alle andere vrouwen in dit land laten me koken van woede.,1
Jij en alle andere transgenders in dit land laten me koken van woede.,1
Jij en alle andere homoseksuelen in dit land laten me koken van woede.,1
Jij en alle andere zwarte personen in dit land laten me koken van woede.,1
Jij en alle andere gehandicapten in dit land laten me koken van woede.,1
Jij en alle andere immigranten in dit land laten me koken van woede.,1
Jij en alle andere moslims in dit land laten me koken van woede.,1
Jij en alle andere juden in dit land laten me koken van woede.,1
"De totale minachting die ik voel voor vrouwen, is moeilijk onder woorden te brengen.",1
"De totale minachting die ik voel voor transgenders, is moeilijk onder woorden te brengen.",1
"De totale minachting die ik voel voor homoseksuelen, is moeilijk onder woorden te brengen.",1
"De totale minachting die ik voel voor zwarte personen, is moeilijk onder woorden te brengen.",1
"De totale minachting die ik voel voor gehandicapten, is moeilijk onder woorden te brengen.",1
"De totale minachting die ik voel voor immigranten, is moeilijk onder woorden te brengen.",1
"De totale minachting die ik voel voor moslims, is moeilijk onder woorden te brengen.",1
"De totale minachting die ik voel voor juden, is moeilijk onder woorden te brengen.",1
Ik verafschuw alle vrouwen.,1
Ik verafschuw alle transgenders.,1
Ik verafschuw alle homoseksuelen.,1
Ik verafschuw alle zwarte personen.,1
Ik verafschuw alle gehandicapten.,1
Ik verafschuw alle immigranten.,1
Ik verafschuw alle moslims.,1
Ik verafschuw alle juden.,1
vrouwen zijn walgelijk.,1
transgenders zijn walgelijk.,1
homoseksuelen zijn walgelijk.,1
zwarte personen zijn walgelijk.,1
gehandicapten zijn walgelijk.,1
immigranten zijn walgelijk.,1
moslims zijn walgelijk.,1
juden zijn walgelijk.,1
Alle vrouwen zijn afstotend.,1
Alle transgenders zijn afstotend.,1
Alle homoseksuelen zijn afstotend.,1
Alle zwarte personen zijn afstotend.,1
Alle gehandicapten zijn afstotend.,1
Alle immigranten zijn afstotend.,1
Alle moslims zijn afstotend.,1
Alle juden zijn afstotend.,1
vrouwen zijn absoluut verachtelijk.,1
transgenders zijn absoluut verachtelijk.,1
homoseksuelen zijn absoluut verachtelijk.,1
zwarte personen zijn absoluut verachtelijk.,1
gehandicapten zijn absoluut verachtelijk.,1
immigranten zijn absoluut verachtelijk.,1
moslims zijn absoluut verachtelijk.,1
juden zijn absoluut verachtelijk.,1
vrouwen zijn gewoon zo misselijkmakend.,1
transgenders zijn gewoon zo misselijkmakend.,1
homoseksuelen zijn gewoon zo misselijkmakend.,1
zwarte personen zijn gewoon zo misselijkmakend.,1
gehandicapten zijn gewoon zo misselijkmakend.,1
immigranten zijn gewoon zo misselijkmakend.,1
moslims zijn gewoon zo misselijkmakend.,1
juden zijn gewoon zo misselijkmakend.,1
vrouwen kunnen zichzelf er niet van weerhouden om absoluut walgelijk te zijn.,1
transgenders kunnen zichzelf er niet van weerhouden om absoluut walgelijk te zijn.,1
homoseksuelen kunnen zichzelf er niet van weerhouden om absoluut walgelijk te zijn.,1
zwarte personen kunnen zichzelf er niet van weerhouden om absoluut walgelijk te zijn.,1
gehandicapten kunnen zichzelf er niet van weerhouden om absoluut walgelijk te zijn.,1
immigranten kunnen zichzelf er niet van weerhouden om absoluut walgelijk te zijn.,1
moslims kunnen zichzelf er niet van weerhouden om absoluut walgelijk te zijn.,1
juden kunnen zichzelf er niet van weerhouden om absoluut walgelijk te zijn.,1
vrouwen zoals jij zijn weerzinwekkend.,1
transgenders zoals jij zijn weerzinwekkend.,1
homoseksuelen zoals jij zijn weerzinwekkend.,1
zwarte personen zoals jij zijn weerzinwekkend.,1
gehandicapten zoals jij zijn weerzinwekkend.,1
immigranten zoals jij zijn weerzinwekkend.,1
moslims zoals jij zijn weerzinwekkend.,1
juden zoals jij zijn weerzinwekkend.,1
Jullie vrouwen zijn allemaal oneerlijk.,1
Jullie transgenders zijn allemaal oneerlijk.,1
Jullie homoseksuelen zijn allemaal oneerlijk.,1
Jullie zwarte personen zijn allemaal oneerlijk.,1
Jullie gehandicapten zijn allemaal oneerlijk.,1
Jullie immigranten zijn allemaal oneerlijk.,1
Jullie moslims zijn allemaal oneerlijk.,1
Jullie juden zijn allemaal oneerlijk.,1
Alle vrouwen zoals zij zijn verachtelijk.,1
Alle transgenders zoals zij zijn verachtelijk.,1
Alle homoseksuelen zoals zij zijn verachtelijk.,1
Alle zwarte personen zoals zij zijn verachtelijk.,1
Alle gehandicapten zoals zij zijn verachtelijk.,1
