text,label
Odio a los negros.,1
Odio a los gays.,1
Odio a los trans.,1
Odio a los judíos.,1
Odio a los discapacitados.,1
Odio a los musulmanes.,1
Odio a los inmigrantes.,1
Odio a las mujeres.,1
No soporto a los negros como tú.,1
No soporto a los gays como tú.,1
No soporto a los trans como tú.,1
No soporto a los judíos como tú.,1
No soporto a los discapacitados como tú.,1
No soporto a los musulmanes como tú.,1
No soporto a los inmigrantes como tú.,1
No soporto a las mujeres como tú.,1
Desprecio a los negros.,1
Desprecio a los gays.,1
Desprecio a los trans.,1
Desprecio a los judíos.,1
Desprecio a los discapacitados.,1
Desprecio a los musulmanes.,1
Desprecio a los inmigrantes.,1
Desprecio a las mujeres.,1
Detesto a los negros.,1
Detesto a los gays.,1
Detesto a los trans.,1
Detesto a los judíos.,1
Detesto a los discapacitados.,1
Detesto a los musulmanes.,1
Detesto a los inmigrantes.,1
Detesto a las mujeres.,1
Aborrezco totalmente a los negros.,1
Aborrezco totalmente a los gays.,1
Aborrezco totalmente a los trans.,1
Aborrezco totalmente a los judíos.,1
Aborrezco totalmente a los discapacitados.,1
Aborrezco totalmente a los musulmanes.,1
Aborrezco totalmente a los inmigrantes.,1
Aborrezco totalmente a las mujeres.,1
Estoy asqueado de todos los negros que hay por aquí.,1
Estoy asqueado de todos los gays que hay por aquí.,1
Estoy asqueado de todos los trans que hay por aquí.,1
Estoy asqueado de todos los judíos que hay por aquí.,1
Estoy asqueado de todos los discapacitados que hay por aquí.,1
Estoy asqueado de todos los musulmanes que hay por aquí.,1
Estoy asqueado de todos los inmigrantes que hay por aquí.,1
Estoy asqueado de todas las mujeres que hay por aquí.,1
Siento mucho desdén por estos negros.,1
Siento mucho desdén por estos gays.,1
Siento mucho desdén por estos trans.,1
Siento mucho desdén por estos judíos.,1
Siento mucho desdén por estos discapacitados.,1
Siento mucho desdén por estos musulmanes.,1
Siento mucho desdén por estos inmigrantes.,1
Siento mucho desdén por estas mujeres.,1
"Siento tanto odio por ustedes, los negros.",1
"Siento tanto odio por ustedes, los gays.",1
"Siento tanto odio por ustedes, los trans.",1
"Siento tanto odio por ustedes, los judíos.",1
"Siento tanto odio por ustedes, los discapacitados.",1
"Siento tanto odio por ustedes, los musulmanes.",1
"Siento tanto odio por ustedes, los inmigrantes.",1
"Siento tanto odio por ustedes, las mujeres.",1
Estoy harto de estar cerca de negros como tú.,1
Estoy harto de estar cerca de gays como tú.,1
Estoy harto de estar cerca de trans como tú.,1
Estoy harto de estar cerca de judíos como tú.,1
Estoy harto de estar cerca de discapacitados como tú.,1
Estoy harto de estar cerca de musulmanes como tú.,1
Estoy harto de estar cerca de inmigrantes como tú.,1
Estoy harto de estar cerca de mujeres como tú.,1
Solo siento desprecio por los negros.,1
Solo siento desprecio por los gays.,1
Solo siento desprecio por los trans.,1
Solo siento desprecio por los judíos.,1
Solo siento desprecio por los discapacitados.,1
Solo siento desprecio por los musulmanes.,1
Solo siento desprecio por los inmigrantes.,1
Solo siento desprecio por las mujeres.,1
Estos negros me dan mucho asco.,1
