text,label
Eu odeio mulheres.,1
Eu odeio negros.,1
Eu odeio gays.,1
Eu odeio pessoas trans.,1
Eu odeio judeus.,1
Eu odeio deficientes.,1
Eu odeio muçulmanos.,1
Eu odeio imigrantes.,1
Eu realmente não suporto mulheres como você.,1
Eu realmente não suporto negros como você.,1
Eu realmente não suporto gays como você.,1
Eu realmente não suporto pessoas trans como você.,1
Eu realmente não suporto judeus como você.,1
Eu realmente não suporto deficientes como você.,1
Eu realmente não suporto muçulmanos como você.,1
Eu realmente não suporto imigrantes como você.,1
Eu desprezo mulheres.,1
Eu desprezo negros.,1
Eu desprezo gays.,1
Eu desprezo pessoas trans.,1
Eu desprezo judeus.,1
Eu desprezo deficientes.,1
Eu desprezo muçulmanos.,1
Eu desprezo imigrantes.,1
Eu detesto mulheres.,1
Eu detesto negros.,1
Eu detesto gays.,1
Eu detesto pessoas trans.,1
Eu detesto judeus.,1
Eu detesto deficientes.,1
Eu detesto muçulmanos.,1
Eu detesto imigrantes.,1
Eu abomino totalmente mulheres.,1
Eu abomino totalmente negros.,1
Eu abomino totalmente gays.,1
Eu abomino totalmente pessoas trans.,1
Eu abomino totalmente judeus.,1
Eu abomino totalmente deficientes.,1
Eu abomino totalmente muçulmanos.,1
Eu abomino totalmente imigrantes.,1
Tenho aversão a todos os negros por aqui.,1
Tenho aversão a todos os gays por aqui.,1
Tenho aversão a todos os judeus por aqui.,1
Tenho aversão a todos os deficientes por aqui.,1
Tenho aversão a todos os muçulmanos por aqui.,1
Tenho aversão a todos os imigrantes por aqui.,1
Tenho aversão a todas as mulheres por aqui.,1
Tenho aversão a todas as pessoas trans por aqui.,1
Eu desdenho muito desses negros.,1
Eu desdenho muito desses gays.,1
Eu desdenho muito desses judeus.,1
Eu desdenho muito desses deficientes.,1
Eu desdenho muito desses muçulmanos.,1
Eu desdenho muito desses imigrantes.,1
Eu desdenho muito dessas  mulheres.,1
Eu desdenho muito dessas  pessoas trans.,1
Eu tenho muito ódio por vocês mulheres.,1
Eu tenho muito ódio por vocês negros.,1
Eu tenho muito ódio por vocês gays.,1
Eu tenho muito ódio por vocês pessoas trans.,1
Eu tenho muito ódio por vocês judeus.,1
Eu tenho muito ódio por vocês deficientes.,1
Eu tenho muito ódio por vocês muçulmanos.,1
Eu tenho muito ódio por vocês imigrantes.,1
Estou farto de estar perto de mulheres como você.,1
Estou farto de estar perto de negros como você.,1
Estou farto de estar perto de gays como você.,1
Estou farto de estar perto de pessoas trans como você.,1
Estou farto de estar perto de judeus como você.,1
Estou farto de estar perto de deficientes como você.,1
Estou farto de estar perto de muçulmanos como você.,1
Estou farto de estar perto de imigrantes como você.,1
Eu não sinto nada além de desprezo por mulheres.,1
Eu não sinto nada além de desprezo por negros.,1
Eu não sinto nada além de desprezo por gays.,1
Eu não sinto nada além de desprezo por pessoas trans.,1
Eu não sinto nada além de desprezo por judeus.,1
Eu não sinto nada além de desprezo por deficientes.,1
Eu não sinto nada além de desprezo por muçulmanos.,1
