text,label
Je déteste les femmes.,1
Je déteste les transgenres.,1
Je déteste les gays.,1
Je déteste les noirs.,1
Je déteste les personnes invalides.,1
Je déteste les musulmans.,1
Je déteste les immigrants.,1
Je déteste les juifs.,1
Je ne peux vraiment pas supporter les femmes comme vous.,1
Je ne peux vraiment pas supporter les transgenres comme vous.,1
Je ne peux vraiment pas supporter les gays comme vous.,1
Je ne peux vraiment pas supporter les noirs comme vous.,1
Je ne peux vraiment pas supporter les personnes invalides comme vous.,1
Je ne peux vraiment pas supporter les musulmans comme vous.,1
Je ne peux vraiment pas supporter les immigrants comme vous.,1
Je ne peux vraiment pas supporter les juifs comme vous.,1
Je méprise les femmes.,1
Je méprise les transgenres.,1
Je méprise les gays.,1
Je méprise les noirs.,1
Je méprise les personnes invalides.,1
Je méprise les musulmans.,1
Je méprise les immigrants.,1
Je méprise les juifs.,1
Je hais les femmes.,1
Je hais les transgenres.,1
Je hais les gays.,1
Je hais les noirs.,1
Je hais les personnes invalides.,1
Je hais les musulmans.,1
Je hais les immigrants.,1
Je hais les juifs.,1
J'exècre les femmes.,1
J'exècre les transgenres.,1
J'exècre les gays.,1
J'exècre les noirs.,1
J'exècre les personnes invalides.,1
J'exècre les musulmans.,1
J'exècre les immigrants.,1
J'exècre les juifs.,1
Je suis dégoûtée par tous les femmes qu'il y a ici.,1
Je suis dégoûtée par tous les transgenres qu'il y a ici.,1
Je suis dégoûtée par tous les gays qu'il y a ici.,1
Je suis dégoûtée par tous les noirs qu'il y a ici.,1
Je suis dégoûtée par tous les personnes invalides qu'il y a ici.,1
Je suis dégoûtée par tous les musulmans qu'il y a ici.,1
Je suis dégoûtée par tous les immigrants qu'il y a ici.,1
Je suis dégoûtée par tous les juifs qu'il y a ici.,1
J'ai trop de dédain pour ces femmes,1
J'ai trop de dédain pour ces transgenres,1
J'ai trop de dédain pour ces gays,1
J'ai trop de dédain pour ces noirs,1
J'ai trop de dédain pour ces personnes invalides,1
J'ai trop de dédain pour ces musulmans,1
J'ai trop de dédain pour ces immigrants,1
J'ai trop de dédain pour ces juifs,1
J'ai trop de haine pour vous autres femmes,1
J'ai trop de haine pour vous autres transgenres,1
J'ai trop de haine pour vous autres gays,1
J'ai trop de haine pour vous autres noirs,1
J'ai trop de haine pour vous autres personnes invalides,1
J'ai trop de haine pour vous autres musulmans,1
J'ai trop de haine pour vous autres immigrants,1
J'ai trop de haine pour vous autres juifs,1
J'en ai ras le bol d'être entouré de femmes comme vous.,1
J'en ai ras le bol d'être entouré de transgenres comme vous.,1
J'en ai ras le bol d'être entouré de gays comme vous.,1
J'en ai ras le bol d'être entouré de noirs comme vous.,1
J'en ai ras le bol d'être entouré de personnes invalides comme vous.,1
J'en ai ras le bol d'être entouré de musulmans comme vous.,1
J'en ai ras le bol d'être entouré de immigrants comme vous.,1
J'en ai ras le bol d'être entouré de juifs comme vous.,1
Je n'ai absolument aucun respect pour les femmes.,1
